Key,Source,Context,English

attCharacterBuildName,progression,Attribute,Perception
attCharacterBuildNameDesc,progression,Attribute,"Perception is the measure of your sensory awareness
attCharacterBuildNameName,progression,Attribute,Attribute: Perception

skillCombatPerksName,progression,Skill,Combat Perks
skillCombatPerksDesc,progression,Skill,Improves your effectiveness in combat

tutorialTipQuest01_title,Journal Tip,,Wake-up Call
tutorialTipQuest01,Journal Tip,,"You head hurts so bad. You thought you were safe but they caught you by surprise while you were sleeping. You grabbed whatever was close and fought them off as best you could, but you had to run. You don't even have clothes on you.\n\nThey should be far enough away for you to pause. You're hurt and really need to treat whatever injuries you can before they get worse.\n\nIt's just a matter of time before they find you again.\n\nThey won't leave you alone, and this time you're ready to stand and fight."

quest_FuriousRamsaySpendSkillPoint_title,Journal Tip,,New Skills
quest_FuriousRamsaySpendSkillPoint,Journal Tip,,"Spend Skill Points"

FuriousRamsayFoundSurvivalSpecialistNote_title,Quest,Quest Info,"Memory Loss"
FuriousRamsayFoundSurvivalSpecialistNote,Quest,Quest Info,"It looks like you're in the clear... for now.\n\nYour head still hurts and beyond the pain you're starting to realize that although you know the danger you're in, you don't quite seem to remember much about who you actually are.\n\nWhat you do know by looking at these weapons is that they are old and ready to fall apart. No sense in even trying to repair them, you'll just have to make do with what you have until you can find something you can repair.\n\nYou also feel a new presence. You feel safe and decide to approach them."

FuriousRamsaySpawnSurvivalSpecialist1,items,Quest,Wandering Trader Location
FuriousRamsaySpawnSurvivalSpecialist1Desc,items,Quest,"This note provides the location of the Wandering Trader"

spawn_FuriousRamsaySpawnSurvivalSpecialist1_name,Quests,Quests,Survival Specialist
spawn_FuriousRamsaySpawnSurvivalSpecialist1_description,Quests,Quests,"Find your way to the Survival Specialist's current location"
spawn_FuriousRamsaySpawnSurvivalSpecialist1_subtitle,Quests,Quests,Call on the Survival Specialist
spawn_FuriousRamsaySpawnSurvivalSpecialist1_offer,Quests,Quests,"These instructions list out how to call on the Survival Specialist.\n\nAll you have to do is wait for him to show up.\n\nDo you wish to proceed?"
spawn_FuriousRamsaySpawnSurvivalSpecialist1_completion,Quests,Quests,"Looks like you're in need of some help.\n\nHere are a couple things for you to choose from.\n\nYou'll need some shelter, so go out and clear this spot."

dialog_FuriousRamsaySurvivalSpecialist1_statement_start,Quest,Dialogs,"You look like a mess. Now what can I do for you?"

dialog_FuriousRamsaySurvivalSpecialist1_statement_background,Quest,Dialogs,What would you like to know about?

dialog_FuriousRamsaySurvivalSpecialist1_response_blackshield,Quest,Dialogs,Tell me about the Black Shield
dialog_FuriousRamsaySurvivalSpecialist1_statement_blackshield,Quest,Dialogs,"We stand against the Duke's will to take control over all trade. Don't be fooled by their looks. They are abusive and ruthless, you simply don't see what they don't want you to see. Be careful."

dialog_FuriousRamsaySurvivalSpecialist1_response_tradernetwork,Quest,Dialogs,Why should I trust you?
dialog_FuriousRamsaySurvivalSpecialist1_statement_tradernetwork,Quest,Dialogs,"Why should you trust the Trader Network? They got us into this mess with their scientists manipulating DNA like they were gods. Where do you think all of these zombies came from?"

quest_FuriousRamsayLocateShelter_subtitle,Quests,Quests,Secure a New Home
quest_FuriousRamsayLocateShelter_description,Quests,Quests,"The Trader wants me to secure a home for myself and he will set up there for my training."
quest_FuriousRamsayLocateShelter_title,Quests,Quests,Secure a New Home
quest_FuriousRamsayLocateShelter_offer,Quests,Quests,"You need to find shelter. Why don't you clear [DECEA3]{poi.name}[-] from those zombies and I'll set up there.\n\nI'll make myself available to you whenever you feel like you need training of any sort."
quest_FuriousRamsayLocateShelter_response,Quests,Quests,Secure a New Home ([DECEA3]{poi.distance} {poi.direction}[-])
quest_FuriousRamsayLocateShelter_statement,Quests,Quests,Secure a New Home
quest_FuriousRamsayLocateShelter_completion,Quests,Quests,"This area will do nicely.\n\nNow what path would you like to follow next?"
