Key,Source,Context,English

ttLevelUp,UI,Tooltip,Level Up! You are now level {0}

skillPointTip,Journal Tip,,"You have leveled up. Each level brings with it new challenges, be careful."
skillPointTip_title,Journal Tip,,Leveling Up

tutorialTipQuest01_title,Journal Tip,,Wake-up Call
tutorialTipQuest01,Journal Tip,,"You head hurts so bad. You thought you were safe but they caught you by surprise while you were sleeping. You grabbed whatever was close and fought them off as best you could, but you had to run. You don't even have clothes on you.\n\nThey should be far enough away for you to pause. You're hurt and really need to treat whatever injuries you can before they get worse.\n\nIt's just a matter of time before they find you again.\n\nThey won't leave you alone, this time you're ready to stand and fight, and while you're at it why not steal some of their clothes?"

FuriousRamsayFoundSurvivalSpecialistNote_title,Quest,Quest Info,"Memory Loss"
FuriousRamsayFoundSurvivalSpecialistNote,Quest,Quest Info,"Where do these things come from?\n\nYour head still hurts and beyond the pain you're starting to realize that although you know the danger you're in, you don't quite seem to remember much about who you actually are.\n\nWhat you do know by looking at your weapons is that they are old and ready to fall apart. No sense in even trying to repair them, you'll just have to make do with what you have until you can find something you can repair.\n\nYou also feel someone watching you. Whoever it is doesn't seem to want to harm you and you decide to approach them."

quest_FuriousRamsayLocateShelter_title,Quest,Quest Info,"All Clear... For Now"
quest_FuriousRamsayLocateShelter,Quest,Quest Info,"You've cleared the place and now you wonder if this is the best spot for you to settle in.\n\nNo matter, you should find an area where you can feel safe, whether here or somewhere else. Once you've secured an area you feel comfortable with, pick a spot where you'll want Briston to set up so you can start your training.\n\nOnce you pick that spot, it will become his permanent training location.\n\nYou feel like you need to hurry it up though, these things aren't likely to leave you alone for very much longer."

quest_FuriousRamsayPillsInfo_title,Quest,Quest Info,"Starter Packs"
quest_FuriousRamsayPillsInfo,Quest,Quest Info,"Take a second to review the Genetic lines and their respective abilities. I'll offer you as a reward, a map to the starter pack for the line of your choice.\n\nI'm unfortunately am all out of Knowledge packs.\n\nOnce you retrieve the pack, you'll find a DNA boost to get you that much closer to leveling the line.\n\nThe DNA Boost is a freebie but should you want more, you can always buy some from me. They ain't cheap, but well worth it.\n\nUhm... Do you hear that? Souns like we have company! - Briston"

quest_FuriousRamsayCraftClassBook_title,Quest,Quest Info,"Select your Path"
quest_FuriousRamsayCraftClassBook,Quest,Quest Info,"You got your hands on the Starter Pack. It contains a Class Reference Book and some concoction that will apparently improve on your current physical condition.\n\nYou should use this book to determine which path to follow.\n\nAfter you've brought it back to Briston for inspection, you'll be able to open it.\n\nThe Class Reference Book lists the recipes you'll need to retrieve the Training Instructions for the Class you wish to specialize in."

dialog_FuriousRamsayTrainers_response_OtherTraining,Quest,Dialogs,"Do you have any other Training?"

quest_FuriousRamsayTraderNetwork_subtitle,Quests,Quests,"Supply Run"
quest_FuriousRamsayTraderNetwork_description,Quests,Quests,"Briston would like for you to make a supply run for him. In exchange he will give you the opportunity to locate a network of traders."
quest_FuriousRamsayTraderNetwork_title,Quests,Quests,Supply Run
quest_FuriousRamsayTraderNetwork_offer,Quests,Quests,"PLACEHOLDER"

quest_FuriousRamsayTraderNetworkDig_subtitle,Quests,Quests,"Time to Dig"
quest_FuriousRamsayTraderNetworkDig_description,Quests,Quests,"It looks like the supplies are buried a few feet underground.\n\nI guess I better start digging."
quest_FuriousRamsayTraderNetworkDig_title,Quests,Quests,Time to Dig
quest_FuriousRamsayTraderNetworkDig_completion,Quests,Quests,"Well done!\n\nIf I were you I'd take the meds... but that's just me."
quest_FuriousRamsayTraderNetworkDig_offer,Quests,Quests,"Time to Dig"

quest_FuriousRamsayDefendArea_Tier1_subtitle,Quests,Quests,"Defense (Tier 1)"
quest_FuriousRamsayDefendArea_Tier1_description,Quests,Quests,"Defend this location from an upcoming wave of zombies."
quest_FuriousRamsayDefendArea_Tier1_title,Quests,Quests,"Defense (Tier 1)"
quest_FuriousRamsayDefendArea_Tier1_offer,Quests,Quests,"A wave of zombies is fast approaching.\n\nStay here and help defend this location. It's imperative that you keep them away from us.\n\nSome of our people aren't able to fight. This will be a good test of your skills.\n\n[ff595f]THIS COUNTS TOWARDS TRADER NETWORK JOB COMPLETION[-]"
quest_FuriousRamsayDefendArea_Tier1_response,Quests,Quests,"Defense"
